"","sigmaObsA","sigmaObsB","sigmaObsC","sigmaObsD","sigmaProA","sigmaProB","sigmaProC","sigmaProD","RhoA","RhoB","RhoC","RhoD"
"1",0.172351179634008,0.208620778218892,0.141448506045524,0.225335439444383,0.330151771595137,0.384955616927427,0.292285502961157,0.446425904120139,0.839595561342567,0.984508262536675,0.961903587197173,0.933692627037297
"2",0.229284635151522,0.207167301594097,0.158392902718103,0.200415979168255,0.299764869718037,0.40576521854544,0.31084534196091,0.463624274739058,0.782563452060309,0.983528099848988,0.980985343637026,0.884152781265078
"3",0.206729356404309,0.18072190566123,0.159395856754614,0.240944451007675,0.313551508818437,0.38693997497641,0.28923059026068,0.42098565528081,0.780181194306809,0.981201060836878,0.97646483694632,0.907300661261477
"4",0.15734511433963,0.204180233666005,0.127762554189841,0.216357772555727,0.333737904775298,0.388034410260451,0.305455938001891,0.439815932610721,0.873629291074847,0.989051893616559,0.974302207123508,0.910863038772218
"5",0.181070921493177,0.210750507718125,0.144465208734551,0.265214001323535,0.331720870109203,0.419053485806639,0.320274867924103,0.407340136524872,0.840249612417257,0.985031594093269,0.990763195157532,0.843416337317211
"6",0.207404962702235,0.179649139969843,0.156834440221322,0.234505089060024,0.344790477850658,0.402623066628118,0.301410318970183,0.409499490461138,0.839467816339322,0.983828789274079,0.980796446130178,0.861022254421375
"7",0.147351991914296,0.187564055920267,0.184892004966187,0.219553690686188,0.36915694934884,0.394932571774652,0.302206524173947,0.462680083077936,0.869653717723722,0.97116487899103,0.944882624548874,0.895408605547058
"8",0.224789815076818,0.227715029071738,0.139487433180693,0.24002300396423,0.347329699689147,0.369405696974941,0.292411000016367,0.452419879626625,0.81116851308447,0.984114099211933,0.989639844544055,0.854759646992069
"9",0.192930311695666,0.226344043839409,0.140966715807328,0.243663782356769,0.349462691935196,0.376001876419841,0.295062060449547,0.423765121462481,0.806968735858527,0.992561481360876,0.986523328499743,0.866920214858111
"10",0.167588393594767,0.191148341796924,0.169605191536152,0.139449192206847,0.328406614065728,0.431096036010872,0.286872495486793,0.451269092273552,0.879471632299846,0.956207856355573,0.97485650972809,0.9389139149661
"11",0.18136553532908,0.197441382163192,0.153543769761791,0.273008779589559,0.363976586050565,0.421487870704468,0.314433733261882,0.393677792876957,0.82733858260838,0.989465947838002,0.989007218699667,0.824348123457802
"12",0.143939608543867,0.22954756644349,0.136350740555905,0.165296197143345,0.352933149401981,0.415337601719488,0.328120816104838,0.447727346098956,0.884586370015041,0.982970920430433,0.970325003360723,0.880392015793051
"13",0.222961244954341,0.20133606214914,0.143458244382924,0.154257059866068,0.336308265918469,0.401409321616023,0.30756564947847,0.469543965431562,0.833760537912382,0.98695155691995,0.976941961539392,0.931462205783683
"14",0.191401939161578,0.199936113489568,0.147835920018336,0.216082125244335,0.350476539819555,0.402116759437226,0.329248215352037,0.433175349885333,0.843003896330618,0.984909413551967,0.975055872379235,0.904393611975269
"15",0.171613473418519,0.211107805476823,0.137138540073567,0.206183161736353,0.350689682462527,0.40601848145397,0.310104680535755,0.484925560672503,0.895745061155564,0.99405839366622,0.979927652588223,0.902848613823468
"16",0.191532099235264,0.165594284916485,0.176346686399007,0.210211007931073,0.347372531522648,0.385342029432824,0.307178437068324,0.408586414554494,0.824048157446851,0.992888952576634,0.990294254191194,0.907545513618287
"17",0.157544999887839,0.171706641997095,0.150071262584313,0.224493600529765,0.348720318624259,0.402445498269423,0.298324966101927,0.427189627471505,0.896001289887099,0.995008051675601,0.958523661397612,0.882530283637898
