Data are continuously updated and reviewed.
Format of the data is as follows :(I4,X,I2,13(X,A6,A1,A1) where:
    I4 = CCYY
     X = /
    I2 = YY
    13(X,A6,A1,A1) = 12 Monthly rainfall in mm from Oct to Sep.
                     Value 13 is the yearly total.
                     X  = Space
                     A6 = 999999
                     A1 = & or space (& = Monthly Reading)
                     A1 = # or space (# = record incomplete or does not exist)

MONTHLY RAINFALL A2E013
Variable 10.00 Rainfall
I4,X,I4,13(X,A6,A1,A1)
AAAAAAAAAAAA
1962/63         #  108.7     67.6     90.4     27.7     11.7    164.9     11.4     59.7      5.6&     0.0&     0.0&         #
1963/64    99.8    199.6     48.0    176.5     37.1     55.1      3.1     18.8      4.8&     0.0&     0.0&     4.6    647.4&
1964/65   170.7     23.1    136.1     70.1     82.1     18.8    101.1     15.0&     0.0&     1.8      2.5      2.8    624.0&
1965/66     9.1     77.2     66.5     83.8     68.3     15.8     12.2     12.2      1.3&     0.0&     0.0&     7.9    354.3&
1966/67   147.1     95.3    163.8    309.6    157.5    151.9    132.3     14.5      0.0&     0.0&    18.3      2.3   1192.5&
1967/68   114.8     53.1     72.9     97.8     68.1    160.5     73.4     41.9      1.0&     0.0&     9.9      0.0    693.4&
1968/69    19.1    139.7     86.4     88.7     36.8    132.6      7.1     51.6&     0.0&     0.0&     3.8     21.1    586.7&
1969/70   117.1     96.3    150.1    118.4     69.3     38.1     12.4     31.5&     0.0&     1.5      3.6     15.8    654.0&
1970/71    70.4     88.1    126.0    203.0     72.1     96.5    116.3     14.0     29.5&     0.0&     0.0&    33.0    848.9&
1971/72    57.7    217.4    109.5    124.2     26.9     98.3     42.2      4.1      0.8&     0.0&     6.4     15.2    702.5&
1972/73    59.2    114.0    102.9     80.3    100.1     45.0     99.0      1.3&     0.0&     0.0&     5.6     38.4    645.6&
1973/74    67.6     76.5    150.6    140.0     87.1     47.0     52.3      3.3&     0.0&     4.2      0.5     14.4    643.4&
1974/75    36.3    134.0    152.3    416.7    207.7     46.4     97.3     14.1      4.5&     0.0&     0.0&     0.6   1109.9&
1975/76    34.0    181.9    143.8    112.2    118.2    128.9     54.1      8.7&     0.0&     0.0&     0.0&    22.3    804.1&
1976/77   117.4    162.0    128.0     85.4     63.5    134.0     89.4      4.4&     0.0&     0.0&    10.9     46.6    841.6&
1977/78   103.9     94.9     72.2    295.2    192.8     76.9     40.5&     0.0&     0.0&     0.0&    15.2     70.0    961.6&
1978/79    72.4     35.8     28.6    104.8&    74.3&   118.8     43.6     10.0&     0.0&    13.2     50.8     11.5    563.7&
1979/80    92.8    146.2     67.6    212.3    242.7     50.8      4.5      0.8      2.0&     0.0&     0.0&    70.5    890.2&
1980/81    14.9    177.9     86.7    161.8     79.5     79.9     31.0      0.6     11.0      0.0&    12.4     19.1    674.8&
1981/82    52.7     37.2     83.9    197.8     37.9     58.5     25.1      2.3      0.0&    14.7&     0.0&     4.1    514.2&
1982/83    61.8     61.8     85.5    129.0     42.9     83.3     18.3     17.1     13.3      6.1     20.1     17.5    556.7
1983/84    61.4    207.8    157.4     69.4     61.3     75.6     11.0      0.1     20.9     28.9      3.8      5.7    703.3
1984/85    70.2     58.0     91.4    126.7    154.1    103.3      1.9     35.4&     0.0&     2.3     11.5     28.1    682.9&
1985/86    59.1     52.2    113.0     88.1     49.2     27.9     62.3&     0.0&    12.2&     0.0&     0.5&     0.0&   464.5&
1986/87   149.6     93.1    133.6     93.3     36.8    124.2     15.9&     0.0&     0.0&     0.0&    14.0    100.5    761.0&
1987/88    53.5    115.8    160.5     67.3     43.0    129.5&    49.9&     0.0&     4.4&     0.0&    10.3     34.6    668.8&
1988/89    77.6     21.8     68.1     80.2    187.7     26.0     15.8     23.2     66.4&     0.0&     4.2      2.2    573.2&
1989/90    32.2    152.1    112.8     52.1     91.6    102.2     99.5      5.0&     0.0&     9.0&     0.0&    14.0    670.5&
1990/91    57.9     29.4     94.6    184.3     72.0    242.1      0.0      7.5     12.5&     0.0&     0.0&     0.0&   700.3&
1991/92    34.1     70.5    137.6     62.7     51.2     19.0     18.5&     0.0&     0.0&     0.0&    12.5      1.6    407.7&
1992/93    42.9     67.8     72.7    185.0     83.2     67.0     21.1&     0.0&     1.0&     0.0&     0.0&    30.1    570.8&
1993/94   118.3    110.0    101.4    138.7     85.1     54.8      0.5     21.5&     0.0&     0.0&     0.0&    14.2    644.5&
1994/95    29.2     83.2    127.3     97.3    114.1    138.2     22.0     61.5&     0.0&     0.0&     0.0&     5.6    678.4&
1995/96    72.0    139.7    178.6    206.6     81.9     60.0     40.6     16.4      4.6      0.2      2.0      2.2    804.8
1996/97   100.1     54.0    175.4    112.6     29.0    259.0     30.2     96.0      0.4      3.2      0.0     27.4    887.3
1997/98    75.6    156.3     70.8     95.6     75.9     77.8&     0.0&     0.0&     0.0&     0.0&     0.0&    30.3    582.3&
1998/99    73.4    101.7    155.8    160.8      5.2     73.8     66.0     29.4      1.2      1.4&     0.0&    12.0    680.7&
1999/00    43.4     77.8    178.0    260.2    172.1    172.2     39.6     17.4      9.2      3.8      6.6     11.0    991.3
2000/01   169.0    137.2     87.8     47.2     94.0     30.1      7.6     70.5      2.0&     0.0&     0.0&     5.8    651.2&
2001/02   101.6    148.2    101.2     48.8     87.8     13.4     36.0      4.0     27.2&     0.0&    24.3&     0.0&   592.5&
